EnsemblID,Gene
ENSG00000169895,SYAP1
ENSG00000137752,CASP1
ENSG00000138119,MYOF
ENSG00000141068,KSR1
ENSG00000197635,DPP4
ENSG00000143799,PARP1
ENSG00000213741,RPS29
ENSG00000008130,NADK
ENSG00000166452,AKIP1
ENSG00000102879,CORO1A
ENSG00000099860,GADD45B
ENSG00000124181,PLCG1
ENSG00000145287,PLAC8
ENSG00000100100,PIK3IP1
ENSG00000138698,RAP1GDS1
ENSG00000187764,SEMA4D
ENSG00000132507,EIF5A
ENSG00000169220,RGS14
ENSG00000068831,RASGRP2
ENSG00000163219,ARHGAP25
ENSG00000153922,CHD1
ENSG00000184613,NELL2
ENSG00000077420,APBB1IP
